sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
12345678,,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Products/Circuit Breakers/Axial Blas CB/Axial Blas CB B",base,"Lorem Ipsum Placeholder Text  Goes Here",,,1.000000,1,"Taxable Goods","Catalog, Search",267.540000,200.000000,4/28/20,,lorem-ipsum-placeholder-text-goes-here,"Lorem Ipsum Placeholder Text  Goes Here","Lorem Ipsum Placeholder Text  Goes Here","Lorem Ipsum Placeholder Text  Goes Here ",/p/r/product.jpg,,/p/r/product.jpg,,/p/r/product.jpg,,/p/r/product.jpg,,"4/20/20, 10:28 PM","7/7/21, 12:29 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Diollo,cart2quote_quotable=Use default,color=Black,cover_end_displace=8,cover_port=C,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=0,featured_sort_no=5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=C,mid_pump_displace=11,pump_mounting=29,rings=Lorem Ipsum Sub1,shaft_end_displace=25,shaft_port=C,system_type=Small,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/p/r/product.jpg",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,"578452,457466,DG4M4-30B-115AC60,DG4M4-VRTCL,4575621","1,3,4,5,6",,,,,"/p/r/product.jpg,/d/o/download_4_.jpg,/i/m/images_1.jpg,/d/o/download_2__1.jpg,/v/i/viegap_14543_image1_1.jpg",",,,,",,,,,,,,,,,
578452,,Default,simple,,base,"Ipsum Placeholder BRAND Here",,,,1,"Taxable Goods","Catalog, Search",500.000000,,,,ipsum-placeholder-text-goes-here,"Ipsum Placeholder Text  Goes Here","Ipsum Placeholder Text  Goes Here","Ipsum Placeholder Text  Goes Here ",/0/1/01_pvs.jpg,,/0/1/01_pvs.jpg,,/0/1/01_pvs.jpg,,/0/1/01_pvs.jpg,,"4/20/20, 10:31 PM","11/4/20, 6:05 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,cart2quote_quotable=Use default,configurable_attr_options=0,cover_end_displace=3,cover_port=B,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=3,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=12,model_no=4442424,pump_mounting=2,rings=Lorem Ipsum Sub3,shaft_end_displace=25,shaft_port=A,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/0/1/01_pvs.jpg",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,"12345678,4575621,457466,DG4M4-30B-115AC60","1,2,3,4",,,,,/0/1/01_pvs.jpg,,,,,,,,,,,,
4575621,,Default,simple,"Default Category/Products/Mechanical",base,"FL7M DC 2-Wire Cylindrical ProximitySensor with Rigid, Highly Waterproof Structure",,,,1,"Taxable Goods","Catalog, Search",165.000000,,,,fl7m-dc-2-wire-cylindrical-proximitysensor-with-rigid-highly-waterproof-structure,"FL7M DC 2-Wire Cylindrical ProximitySensor with Rigid, Highly Waterproof Structure","FL7M DC 2-Wire Cylindrical ProximitySensor with Rigid, Highly Waterproof Structure","FL7M DC 2-Wire Cylindrical ProximitySensor with Rigid, Highly Waterproof Structure ",/d/f/df.jpg,,/d/f/df.jpg,,/d/f/df.jpg,,/d/f/df.jpg,,"4/20/20, 10:33 PM","2/3/21, 8:02 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Synaty,cart2quote_quotable=Use default,color=Red,configurable_attr_options=0,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=1,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=11,model_no=33333-5D - model,pump_mounting=–,rings=Lorem Ipsum Sub4,shaft_end_displace=25,shaft_port=A,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/d/f/df.jpg",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/d/f/df.jpg,,,,,,,,,,,,
457466,,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Products/Circuit Breakers,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker",base,"ProximitySensor with Rigid, Highly Waterproof Structure","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.</p>
<p>There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.</p>
<p>To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. </p>","<p>Short Des One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase. SD</p>",1.000000,1,0,"Catalog, Search",84.000000,,,,proximitysensor-with-rigid-highly-waterproof-structure,"ProximitySensor with Rigid, Highly Waterproof Structure","ProximitySensor with Rigid, Highly Waterproof Structure","ProximitySensor with Rigid, Highly Waterproof Structure ",/0/1/01_pvs_1.jpg,,/0/1/01_pvs_1.jpg,,/0/1/01_pvs_1.jpg,,/0/1/01_pvs_1.jpg,,"4/20/20, 10:35 PM","11/11/20, 2:21 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,cover_end_displace=3,cover_port=B,dev_port=1,displace=1,enable_advanced_layout=No,enable_delivery_options=No,featured_sort_no=9,height=1.5,hydraulic_fluid=F11,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=12,model_no=4512741,pump_mount=1,pump_mounting=2,rotation=1,shaft_config=1,shaft_end_displace=25,shaft_port=A,special=1,system_type=Medium,test_vm_type=1,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=Yes,weltpixel_hover_image=/0/1/01_pvs_1.jpg,width=1",99999.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,"DG4M4-YTRE,DG4M4-VRTCL,4575621,Attribute","1,3,4,6",,,,,"/0/1/01_pvs_1.jpg,/d/o/download_2_.jpg,/d/o/download1_1.jpg,/s/y/synaty-logo-design-ideas-150x150_2x.jpg,/d/o/downloadcis.jpg",",,,,",,,,,,,,,,,
DG4M4-30B-115AC60,,Default,simple,"Default Category/Featured Products,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",base,"Cylindrical ProximitySensor with Rigid","<p>There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested</p>","<ul>
<li>Special switching valves enables easy switching from low speed high torque to high speed low torque.</li>
<li>Balanced type vane motor provides wide range of speeds and torques</li>
<li>Special switching valves enables easy switching from low speed high torque to high speed low torque.</li>
</ul>",1.000000,1,"Taxable Goods","Catalog, Search",154.000000,125.000000,8/28/20,,cylindrical-proximitysensor-with-rigid,"Cylindrical ProximitySensor with Rigid","Cylindrical ProximitySensor with Rigid","Cylindrical ProximitySensor with Rigid ",/i/m/images.jpeg,,/i/m/images.jpeg,,/i/m/images.jpeg,,/i/m/images.jpeg,,"4/20/20, 10:38 PM","4/18/21, 1:37 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Synaty,cart2quote_quotable=Use default,color=White,configurable_attr_options=0,cover_end_displace=8,cover_port=D,dev_port=1,displace=1,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=3,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=D,mid_pump_displace=8,model_no=4520581,pump_mount=1,pump_mounting=–,rotation=1,shaft_config=1,shaft_end_displace=25,shaft_port=D,special=1,system_type=Large,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/i/m/images.jpeg",99984.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,"/i/m/images.jpeg,/d/o/download_2__2.jpg,/d/i/diollo-150x150_2x.jpg,/d/o/download_4__1.jpg,/i/m/images_1.png",",,,,",,"name=Port Option,type=field,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed|name=Any Specifications,type=field,required=1,price=0.000000,sku=,max_characters=25,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Yes|name=Any Specifications,type=field,required=1,price=0.000000,sku=,max_characters=25,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=No|name=Availability hours,type=drop_down,required=1,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=YES|name=Availability hours,type=drop_down,required=1,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=NO|name=Data spec Area,type=area,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed",,,,,,,,,
"test config2-Red",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",base,"test config2-Red",,,2.000000,1,"Taxable Goods","Not Visible Individually",26.000000,,,,test-config2-red,"test config2","test config2","test config2 ",,,,,,,,,"4/24/20, 9:36 AM","7/10/20, 12:57 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,cart2quote_quotable=Use default,color=Red,enable_advanced_layout=No,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,model_no=0102,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"test config2-Black",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Featured Products",base,"test config2-Black",,,2.000000,1,"Taxable Goods","Catalog, Search",26.000000,,8/29/20,,test-config2-black,"test config2","test config2","test config2 ",no_selection,,no_selection,,no_selection,,no_selection,,"4/24/20, 9:36 AM","11/10/20, 11:26 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Synaty,cart2quote_quotable=Use default,color=Black,cover_end_displace=5,cover_port=D,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=101,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=1,mid_port=B,mid_pump_displace=11,model_no=0102,pump_mounting=–,shaft_end_displace=25,shaft_port=C,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=no_selection",99937.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DG4M4-VRTCL,,Default,configurable,"Default Category/Featured Products,Default Category/Products/Hydraulics",base,"DG5V-H8 - Directional Control Valve","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ","<ul>
<li>Special switching valves enables easy switching from low speed high torque to high speed low torque.</li>
<li>Balanced type vane motor provides wide range of speeds and torques</li>
</ul>",2.000000,1,"Taxable Goods","Catalog, Search",,,,,test-config2,"test config2","test config2","test config2 ",/m/o/motor-images-14_1.jpg,,/m/o/motor-images-14_1.jpg,,/m/o/motor-images-14_1.jpg,,,,"4/24/20, 9:36 AM","4/18/21, 1:38 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,configurable_attr_options=Color,1,-|solenoid,2,-|,cover_end_displace=8,cover_port=D,enable_advanced_layout=No,enable_delivery_options=Yes,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=4,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=D,mid_pump_displace=8,model_no=MN_12_VCD,pump_mounting=–,shaft_end_displace=25,shaft_port=D,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=Yes,weltpixel_hover_image=/m/o/motor-images-14_1.jpg,width=1",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motor-images-14_1.jpg,,,"name=Port Selection,type=drop_down,required=1,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Required|name=Port Selection,type=drop_down,required=1,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Not Required|name=Port Option1,type=field,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed|name=Port Option2,type=field,required=0,price=0.000000,sku=,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed|name=Port Option area,type=area,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed",,,,,,,,"sku=DG5V-H8-Red-30B - NoModel,color=Red,solenoid=30B|sku=DG5V-H8-Red-20B,color=Red,solenoid=20B|sku=DG5V-H8-Black-30B - NoModel,color=Black,solenoid=30B|sku=DG5V-H8-Black-20 B23 DG5V,color=Black,solenoid=20B|sku=DG5V-H8-Blue-20B,color=Blue,solenoid=20B|sku=DG5V-H8-Blue-30B,color=Blue,solenoid=30B|sku=DG5V-H8-Brown-30B,color=Brown,solenoid=30B|sku=DG5V-H8-Brown-20B,color=Brown,solenoid=20B","color=Color,solenoid=Solenoid"
test,,Default,simple,"Default Category/Products/Mechanical",base,test,,,,1,"Taxable Goods","Catalog, Search",200.000000,,,,test,test,test,"test ",,,,,,,,,"4/27/20, 10:50 PM","2/2/21, 8:26 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Gonery,cart2quote_quotable=Use default,cover_end_displace=3,cover_port=B,enable_advanced_layout=No,enable_delivery_options=Yes,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=12,model_no=123,pump_mounting=2,shaft_end_displace=25,shaft_port=A,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
custom-product,,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",base,"Custom Product",,,,1,"Taxable Goods","Not Visible Individually",0.000000,,,,custom-product,,,,,,,,,,,,"5/4/20, 11:32 PM","5/4/20, 11:32 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"amxnotif_hide_alert=No,cart2quote_quotable=Use default,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,system_type=Medium,use_in_crosslinking=Yes",100000.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,,,,"name=name,type=field,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=,image_size_y=,price_type=fixed|name=sku,type=field,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=,image_size_y=,price_type=fixed|name=price,type=field,required=1,price=0.000000,sku=,max_characters=50,file_extension=,image_size_x=,image_size_y=,price_type=fixed",,,,,,,,,
DG4M4-YTRE,,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Featured Products",base,"Ipsum Placeholder Text  Goes related","<ul>
<li>Special switching valves enables easy switching from low speed high torque to high speed low torque.</li>
<li>Balanced type vane motor provides wide range of speeds and torques.</li>
<li>Compact with large torque output.</li>
<li>Smooth, stable low speeds even at 10 rpm.</li>
<li>Compact design which eliminates need for gear boxes and reduction gears.</li>
</ul>","<ul>
<li>Lower noise – Offers very quiet and soft operational noise levels</li>
<li>Maintenance friendly – Rotating element in cartridge kit form allows simple maintenance</li>
</ul>",10.000000,1,"Taxable Goods","Catalog, Search",15.000000,,,,ipsum-placeholder-text-goes-here1,"Ipsum Placeholder Text  Goes Here1","Ipsum Placeholder Text  Goes Here1","Ipsum Placeholder Text  Goes Here1 ",no_selection,,no_selection,,no_selection,,no_selection,,"5/11/20, 4:26 AM","7/6/21, 5:05 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,cover_end_displace=8,cover_port=D,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=2,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=D,mid_pump_displace=8,model_no=115AC60-20-LH,pump_mounting=–,shaft_end_displace=25,shaft_port=D,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=Yes,weltpixel_hover_image=no_selection",99887.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,"4575621,457466,DG4M4-30B-115AC60,DG4M4-VRTCL","1,2,3,4",,,,,,,,,,,,,,,,,
578452-1,,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",base,"Simple prodcut1",,,1.000000,1,"Taxable Goods","Catalog, Search",500.000000,,,,ipsum-placeholder-text-goes-here-1,"Ipsum Placeholder Text  Goes Here","Ipsum Placeholder Text  Goes Here","Ipsum Placeholder Text  Goes Here ",/d/o/download_3_.jpg,,/d/o/download_3_.jpg,,/d/o/download_3_.jpg,,/d/o/download_3_.jpg,,"5/11/20, 4:27 AM","1/6/21, 8:43 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,cover_end_displace=3,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=0,featured_sort_no=7,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=11,model_no=4442424,pump_mounting=2,rings=Lorem Ipsum Sub3,shaft_end_displace=25,shaft_port=A,standard_delivery_time=0,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=Yes,weltpixel_hover_image=/d/o/download_3_.jpg",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/d/o/download_3_.jpg,,,,,,,,,,,,
"simple product2",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",base,"simple product2","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.</p>
<p>There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.</p>
<p> </p>","<p>Short Des One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase. SD</p>",,1,"Taxable Goods","Catalog, Search",15.000000,,,,ipsum-placeholder-text-goes-here1-1,"Ipsum Placeholder Text  Goes Here1","Ipsum Placeholder Text  Goes Here1","Ipsum Placeholder Text  Goes Here1 ",no_selection,,no_selection,,no_selection,,no_selection,,"5/11/20, 4:27 AM","11/9/20, 8:08 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=ACIS BRAND,cart2quote_quotable=Use default,cover_end_displace=4,cover_port=C,enable_advanced_layout=No,enable_delivery_options=No,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=C,mid_pump_displace=8,model_no=55555,pump_mounting=29,shaft_end_displace=25,shaft_port=C,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=no_selection",99996.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,"12345678,578452,4575621","1,2,3",,,,,/m/o/motor-2020_3.jpg,,,,,,,,,,,,
