entity_id,name,store_view,store_name,image,url_path,available_sort_by,breadcrumbs_priority,category_seo_name,category_sort_no,custom_apply_to_products,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_layout_update_file,custom_use_parent_settings,default_sort_by,description,display_mode,filter_price_range,include_in_menu,in_html_sitemap,in_xml_sitemap,is_active,is_anchor,is_popular,landing_page,meta_description,meta_keywords,meta_robots,meta_title,page_layout,path,path_in_store,position,redirect_priority,thumbnail,url_key,use_in_crosslinking
1,"Root Catalog",default,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,1,,0,,,,Yes
1,"Root Catalog",admin,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,1,,0,,,,Yes
2,"Default Category",default,,,,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2,,1,0,,default-category,Yes
2,"Default Category",admin,,,,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2,,1,0,,default-category,Yes
3,"Default Category/Products",default,,https://c14fcb143e.nxcli.net/media/catalog/category/clp-banner.jpg,products,,0,,,Yes,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3,,1,0,,products,Yes
3,"Default Category/Products",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/clp-banner.jpg,products,,0,,,Yes,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3,,1,0,,products,Yes
4,"Default Category/Products/Hydraulics",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/hydraulics,,0,,1,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,,1/2/3/4,,1,0,,hydraulics,Yes
4,"Default Category/Products/Hydraulics",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/hydraulics,,0,,1,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,,1/2/3/4,,1,0,,hydraulics,Yes
9,"Default Category/Products/Circuit Breakers",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_1_1.jpg,products/circuit-breakers,,0,,12,No,"Dcw Cis",,,,,No,,"<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>","Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/9,,2,0,,circuit-breakers,Yes
9,"Default Category/Products/Circuit Breakers",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_1_1.jpg,products/circuit-breakers,,0,,12,No,"Dcw Cis",,,,,No,,"<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>","Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/9,,2,0,,circuit-breakers,Yes
12,"Default Category/Products/Micro Electronics",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_2_2.jpg,products/microelectronics,,0,,7,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/12,,4,0,,microelectronics,Yes
12,"Default Category/Products/Micro Electronics",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_2_2.jpg,products/microelectronics,,0,,7,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/12,,4,0,,microelectronics,Yes
13,"Default Category/Products/Energy Systems",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/energy-systems,,0,,6,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/13,,5,0,,energy-systems,Yes
13,"Default Category/Products/Energy Systems",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/energy-systems,,0,,6,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/13,,5,0,,energy-systems,Yes
14,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/circuit-breakers/plain-air-circuit-breaker,,0,,,No,,,,,,No,,"<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>
<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>","Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/14,,1,0,,plain-air-circuit-breaker,Yes
14,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/circuit-breakers/plain-air-circuit-breaker,,0,,,No,,,,,,No,,"<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>
<p>Cascade Industrial Services MRO (maintenance, repair, and operations) team delivers strong, broad product knowledge and cost savings to our expanding industrial customer base.</p>
<p>Customers include industrial plants and facilities using MRO, Safety and Electrical products. Sales associates are highly trained in reducing total cost of ownership and offer the best brands in the industry, as well as value added services such as training, vendor-managed inventory (VMI), or storeroom management.</p>","Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/14,,1,0,,plain-air-circuit-breaker,Yes
15,"Default Category/Products/Circuit Breakers/Axial Blas CB",default,,,products/circuit-breakers/axial-blas-cb,,0,,,No,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/15,,2,0,,axial-blas-cb,Yes
15,"Default Category/Products/Circuit Breakers/Axial Blas CB",admin,,,products/circuit-breakers/axial-blas-cb,,0,,,No,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/15,,2,0,,axial-blas-cb,Yes
16,"Default Category/Products/Circuit Breakers/SF6 Circuit Breaker",default,,,products/circuit-breakers/sf6-circuit-breaker,,0,,11,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,1/2/3/9/16,,3,0,,sf6-circuit-breaker,Yes
16,"Default Category/Products/Circuit Breakers/SF6 Circuit Breaker",admin,,,products/circuit-breakers/sf6-circuit-breaker,,0,,11,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,1/2/3/9/16,,3,0,,sf6-circuit-breaker,Yes
17,"Default Category/Products/Circuit Breakers/Vacuum Circuit Breaker",default,,,products/circuit-breakers/vacuum-circuit-breaker,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/17,,4,0,,vacuum-circuit-breaker,Yes
17,"Default Category/Products/Circuit Breakers/Vacuum Circuit Breaker",admin,,,products/circuit-breakers/vacuum-circuit-breaker,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/17,,4,0,,vacuum-circuit-breaker,Yes
28,"Default Category/Products/Micro Electronics/Microcontroller ",default,,,products/microelectronics/microcontroller,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/28,,1,0,,microcontroller,Yes
28,"Default Category/Products/Micro Electronics/Microcontroller ",admin,,,products/microelectronics/microcontroller,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/28,,1,0,,microcontroller,Yes
29,"Default Category/Products/Micro Electronics/Microcontroller ELEC",default,,,products/microelectronics/microcontroller-elec,,,,,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/12/29,,2,,,microcontroller-elec,Yes
29,"Default Category/Products/Micro Electronics/Microcontroller ELEC",admin,,,products/microelectronics/microcontroller-elec,,,,,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/12/29,,2,,,microcontroller-elec,Yes
30,"Default Category/Products/Micro Electronics/Solar panel micro elec",default,,,products/microelectronics/solar-panel-micro-elec,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/30,,3,0,,solar-panel-micro-elec,Yes
30,"Default Category/Products/Micro Electronics/Solar panel micro elec",admin,,,products/microelectronics/solar-panel-micro-elec,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/30,,3,0,,solar-panel-micro-elec,Yes
31,"Default Category/Products/Micro Electronics/Arduino Board Elec",default,,,products/microelectronics/arduino-board-elec,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/31,,4,0,,arduino-board-elec,Yes
31,"Default Category/Products/Micro Electronics/Arduino Board Elec",admin,,,products/microelectronics/arduino-board-elec,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/12/31,,4,0,,arduino-board-elec,Yes
32,"Default Category/Products/Energy Systems/Energy systems analysis",default,,,products/energy-systems/energy-systems-analysis,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/13/32,,1,0,,energy-systems-analysis,Yes
