attribute_set_code,sku,store_view_code,product_type,categories,categories_position,category_ids,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,additional_attributes,amxnotif_hide_alert,available_shipping_methods,base_model,brand,cart2quote_quotable,color,configurable_attr_options,corrosion_resistant,cost,cover_end_displace,cover_port,cross_domain_store,cross_domain_url,custom_layout,custom_layout_update_file,design,dev_port,displace,enable_advanced_layout,enable_delivery_options,expedited_delivery_time,fans,featured_sort_no,fluid,full_torque,gallery,heat_resistant,height,hydralic_fluid,hydraulic_fluid,in_html_sitemap,in_xml_sitemap,is_featured,is_top,is_value,is_valuess1,lamp_type,length,manufacturer,merchant_center_category,meta_robots,MHT_multi_design,MHT_multi_special,mid_port,mid_pump_displace,model_no,mounting_dimensions,partial_torque,power_units,price_type,price_view,product_seo_name,pump_mount,pump_mounting,rings,rotate,rotation,shaft_config,shaft_configure,shaft_end_displace,shaft_port,shipment_type,shipping_option,sku_type,solenoid,special,spool_spring_arrangement,standard_delivery_time,system_type,test_fluid,test_vm_type,ts_country_of_origin,ts_dimensions_height,ts_dimensions_length,ts_dimensions_width,ts_hs_code,ts_packaging_id,ts_packaging_type,url_path,use_in_crosslinking,usps_shipping_method,weight_type,weltpixel_hover_image,width,wee_tax_variations,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels,video_url
Default,DG5V-H8,default,configurable,"Default Category/Featured Products,Default Category/Products/Hydraulics","Default Category/Featured Products=0,Default Category/Products/Hydraulics=0","75,4",base,"DG5V-H8 - Directional Control Valve","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Catalog, Search",,,,,test-config2,"test config2","test config2","test config2 ",,,,,,,,,"4/24/20, 9:36 AM","9/11/20, 8:16 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,configurable_attr_options=hydralic_fluid*,2|color,3,-|solenoid,1,-|,enable_advanced_layout=No,enable_delivery_options=Yes,expedited_delivery_time=Ships In 1 - 2 Days,featured_sort_no=0,fluid=–,height=1.5,hydralic_fluid=DG5V,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,model_no=MN_12_VCD,standard_delivery_time=Ships in 10 - 14 weeks,system_type=Medium,use_in_crosslinking=Yes,usps_shipping_method=Yes,width=1",No,,,"Tokyo Keiki / Tokimec","Use default",,"hydralic_fluid*,2|color,3,-|solenoid,1,-|",,,,,,,,,,,,No,Yes,"Ships In 1 - 2 Days",,0,–,,,,1.5,DG5V,,Yes,Yes,0,,,,,1,,,,,,,,MN_12_VCD,,,,,,,,,,,,,,,,,,,,,,"Ships in 10 - 14 weeks",Medium,,,,,,,,,,,Yes,Yes,,,1,,,,,,,,,"sku=DG5V-H8-Brown-20B,solenoid=20B,color=Brown|sku=DG5V-H8-Red-20B,solenoid=20B,color=Red|sku=DG5V-H8-Blue-20B,solenoid=20B,color=Blue|sku=DG5V-H8-Black-20B,solenoid=20B,color=Black|sku=DG5V-H8-Red-30B,solenoid=30B,color=Red|sku=DG5V-H8-Blue-30B,solenoid=30B,color=Blue|sku=DG5V-H8-Black-30B,solenoid=30B,color=Black|sku=DG5V-H8-Brown-30B,solenoid=30B,color=Brown","solenoid=Solenoid,color=Color",
Default,DG4VC-5-22AL-M-PS2-H-7-50,default,simple,"Default Category/Products/Micro Electronics/Microcontroller ,Default Category/Products/Energy Systems/Energy systems scenarios","Default Category/Products/Micro Electronics/Microcontroller =0,Default Category/Products/Energy Systems/Energy systems scenarios=0","28,33",base,"test product1","<p>Short Des One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase. SD</p>","<p>Short Des test</p>",1.000000,1,"Taxable Goods","Catalog, Search",1000.000000,,,,test-product1,"test product1","test product1","test product1",/d/o/download_5__2.jpg,,/d/o/download_5__2.jpg,,/d/o/download_5__2.jpg,,/d/o/download_5__2.jpg,,"5/12/20, 7:27 AM","6/26/20, 5:24 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,500.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,0,1,0,0,1.0000,1,0,0,0,"12345678,4575621,Cylindrical Proximity Sensor with Rigid Outofstk,578452","1,2,5,7",,,,,"/d/o/download_5__2.jpg,/i/m/images_2_.jpg,/i/m/images_3__3.jpg,/i/m/images_4__3.jpg,/i/m/images_5__2.jpg",,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,enable_advanced_layout=No,expedited_delivery_time=Ships In 3 - 4 Days,hydralic_fluid=0,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=Ships In 6 - 8 Days,system_type=Medium,use_in_crosslinking=Yes,weltpixel_hover_image=/d/o/download_5__2.jpg",No,,,"Tokyo Keiki / Tokimec","Use default",,,,,,,,,,,,,,No,,"Ships In 3 - 4 Days",,,,,,,,0,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ships In 6 - 8 Days",Medium,,,,,,,,,,,Yes,,,/d/o/download_5__2.jpg,,,,,,,,,,,,
Default,DG4VC-5-2AL-M-PN2-H-7-50,default,simple,"Default Category/Products/Circuit Breakers,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Products/Micro Electronics/Microcontroller ","Default Category/Products/Circuit Breakers=0,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1=0,Default Category/Products/Micro Electronics/Microcontroller =0","9,55,28",base,"test product 2",,,1.000000,1,"Taxable Goods","Catalog, Search",1200.000000,,,,test-product-2,"test product 2","test product 2","test product 2",,,,,,,,,"5/12/20, 7:29 AM","6/26/20, 5:24 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,500.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,0,1,0,0,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,enable_advanced_layout=No,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Default,48298175,default,simple,"Default Category/Featured Products,Default Category/Products/Energy Systems/Energy systems scenarios,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1","Default Category/Featured Products=0,Default Category/Products/Energy Systems/Energy systems scenarios=0,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1=0","75,33,55",base,"DG4VC-5-22N-M-PS2-H-7-50 - Directional Control Valve","<p><strong>DG4VC-5 </strong>– Fine current signal solenoid operated directional control valves</p>
<p> </p>
<ul>
<li>Integrated solid-state relay</li>
<li>Performance same as standard DG4V-5 solenoid valve</li>
<li>Valve can be directly driven by connecting signal terminal to PLC, etc.</li>
<li>Mounting – 5 – ISO 4401-AC-05-4-A</li>
</ul>",,7.000000,1,"Taxable Goods","Catalog, Search",980.000000,,,,test-product-3,"test product 3","test product 3","test product 3 ",/l/o/logo.png,,/l/o/logo.png,,/l/o/logo.png,,/l/o/logo.png,,"5/12/20, 7:30 AM","7/11/20, 10:32 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,498.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,"4584215,4575621","1,2",,,,,/l/o/logo.png,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,enable_advanced_layout=No,expedited_delivery_time=Ships In 1 - 2 Days,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,model_no=DG4VC-5-22N-M-PS2-H-7-50,standard_delivery_time=Ships in 10 - 14 weeks,system_type=Medium,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/l/o/logo.png",No,,,"Tokyo Keiki / Tokimec","Use default",,,,,,,,,,,,,,No,,"Ships In 1 - 2 Days",,,,,,,,,,Yes,Yes,0,,,,,,,,,,,,,DG4VC-5-22N-M-PS2-H-7-50,,,,,,,,,,,,,,,,,,,,,,"Ships in 10 - 14 weeks",Medium,,,,,,,,,,,Yes,No,,/l/o/logo.png,,,,,,,,,,,,
Default,DG4VC-5-33BL,default,simple,"Default Category/Products","Default Category/Products=0",3,base,"test product 4",,,,1,"Taxable Goods","Catalog, Search",1356.000000,,,,test-product-4,"test product 4","test product 4","test product 4 ",,,,,,,,,"5/12/20, 7:32 AM","6/19/20, 3:13 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,500.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,enable_advanced_layout=No,expedited_delivery_time=0,featured_sort_no=12,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=0,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",,,,,,,,,,,,,,No,,0,,12,,,,,,,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Default,DG4VC,default,simple,"Default Category/Products,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1,Default Category/Products/Control & Automation/Photoelectric Sensors/Fiber Optic,Default Category/Products/Micro Electronics/Microcontroller ","Default Category/Products=0,Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1=0,Default Category/Products/Control & Automation/Photoelectric Sensors/Fiber Optic=0,Default Category/Products/Micro Electronics/Microcontroller =0","3,55,66,28",base,"test product 5",,,,1,"Taxable Goods","Catalog, Search",122.000000,,,,test-product-5,"test product 5","test product 5","test product 5 ",,,,,,,,,"5/12/20, 7:33 AM","6/3/20, 2:19 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,500.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,configurable_attr_options=0,enable_advanced_layout=No,expedited_delivery_time=0,hydralic_fluid=0,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=0,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",,0,,,,,,,,,,,,No,,0,,,,,,,,0,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Default,DG5V-H8-Red-02-1C,default,simple,"Default Category/Featured Products","Default Category/Featured Products=0",75,base,"DG5V-H8 - Directional Control Valve-Red-02-1C","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",,,,,dg5v-h8-directional-control-valve-red-02-1c,"test config2","test config2","test config2 ",,,,,,,,,"6/24/20, 8:40 PM","6/24/20, 8:40 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,500.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Red,configurable_attr_options=0,enable_advanced_layout=Yes,expedited_delivery_time=Ships In 1 - 2 Days,featured_sort_no=0,hydralic_fluid=0,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=Ships in 10 - 14 weeks,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",Red,0,,,,,,,,,,,,Yes,,"Ships In 1 - 2 Days",,0,,,,,,0,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ships in 10 - 14 weeks",Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Default,Cascade-Test-Red,default,simple,,,,base,Cascade-Test-Red,,,7.000000,1,"Taxable Goods","Not Visible Individually",120.000000,,,,cascade-test-red,Cascade-Test,Cascade-Test,"Cascade-Test ",,,,,,,,,"6/25/20, 4:06 PM","6/25/20, 4:06 PM",,,"Block after Info Column",,,,No,,,,,,,,,500.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Red,enable_advanced_layout=No,expedited_delivery_time=Ships In 1 - 2 Days,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=Ships In 8 -  10 Days,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",Red,,,,,,,,,,,,,No,,"Ships In 1 - 2 Days",,,,,,,,,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ships In 8 -  10 Days",Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Default,DG5V-H8-Brown,default,simple,"Default Category/Featured Products","Default Category/Featured Products=0",75,base,"DG5V-H8 - Directional Control Valve-Brown","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",20.000000,,,,dg5v-h8-directional-control-valve-brown,"test config2","test config2","test config2 ",,,,,,,,,"7/10/20, 12:57 AM","7/15/20, 10:21 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,500.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Brown,configurable_attr_options=color,1,enable_advanced_layout=Yes,expedited_delivery_time=Ships In 1 - 2 Days,featured_sort_no=0,hydralic_fluid=0,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,standard_delivery_time=Ships in 10 - 14 weeks,system_type=Medium,use_in_crosslinking=Yes,usps_shipping_method=No",No,,,"Tokyo Keiki / Tokimec","Use default",Brown,"color,1",,,,,,,,,,,,Yes,,"Ships In 1 - 2 Days",,0,,,,,,0,,Yes,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ships in 10 - 14 weeks",Medium,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
Default,48257041,default,simple,"Default Category/Products/Hydraulics/Vane Pumps/Fixed Displacement/Low Noise/Single Pumps","Default Category/Products/Hydraulics/Vane Pumps/Fixed Displacement/Low Noise/Single Pumps=0",285,base,"F11-SQP4-38-86C2-18 –  Fixed Displacement Low Noise Single Pump","<p>The SQP series are low-noise vane pumps offered in single,double, or triple pumps, with 4 frame sizes, 16 series and 31models of different discharge displacements. The wide extent of this range allows users to select the optimum combination of discharge displacements for their circuits, leading to an energy efficient system.</p><ul><li>Offers very quiet and soft operational noise levels.</li><li>Multiple pump combinations of differing displacements permits simpler circuit design compared to systems using one large displacement pump and provides greater flexibility in circuit design with the benefit of low noise levels.</li><li>Rotating element is in cartridge kit form which allows simple maintenance.</li></ul>","SQP4 Series Pump",50.000000,1,"Taxable Goods",Search,3020.000000,,,,f11-sqp4-38-86c2-18,F11-SQP4-38-86C2-18,F11-SQP4-38-86C2-18,F11-SQP4-38-86C2-18,,,,,,,,,"7/23/20, 12:15 AM","7/23/20, 12:15 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Japan,500.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,0,1,0,0,1.0000,1,0,0,0,,,,,,,,,,,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,corrosion_resistant=1,dev_port=1,displace=1,enable_advanced_layout=No,fluid=1,heat_resistant=1,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,lamp_type=1,model_no=F11-SQP4-38-86C2-18,pump_mount=1,rotation=1,shaft_config=1,special=1,system_type=Medium,use_in_crosslinking=Yes",No,,,"Tokyo Keiki / Tokimec","Use default",,,1,,,,,,,,,1,1,No,,,,,1,,,1,,,,Yes,Yes,0,,,,1,,,,,,,,,F11-SQP4-38-86C2-18,,,,,,,1,,,,1,1,,,,,,,,1,,,Medium,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
