"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-CA-*-Rate 1","US","CA","*","8.2500","","","",""
"US-NY-*-Rate 1","US","NY","*","8.3750","","","",""
"US-CA-89010","US","CA","89010","7.2500","","","",""
"US-CA-89019","US","CA","89019","7.7500","","","",""
"US-CA-89046","US","CA","89046","7.7500","","","",""
"US-CA-89060","US","CA","89060","7.7500","","","",""
"US-CA-89061","US","CA","89061","7.7500","","","",""
"US-CA-89439","US","CA","89439","7.2500","","","",""
"US-CA-90001","US","CA","90001","10.2500","","","",""
"US-CA-90002","US","CA","90002","10.2500","","","",""
"US-CA-90003","US","CA","90003","9.5000","","","",""
"US-CA-90004","US","CA","90004","9.5000","","","",""
"US-CA-90005","US","CA","90005","9.5000","","","",""
"US-CA-90006","US","CA","90006","9.5000","","","",""
"US-CA-90007","US","CA","90007","9.5000","","","",""
"US-CA-90008","US","CA","90008","9.5000","","","",""
"US-CA-90009","US","CA","90009","9.5000","","","",""
"US-CA-90010","US","CA","90010","9.5000","","","",""
"US-CA-90011","US","CA","90011","9.5000","","","",""
"US-CA-90012","US","CA","90012","9.5000","","","",""
"US-CA-90013","US","CA","90013","9.5000","","","",""
"US-CA-90014","US","CA","90014","9.5000","","","",""
"US-CA-90015","US","CA","90015","9.5000","","","",""
"US-CA-90016","US","CA","90016","10.2500","","","",""
"US-CA-90017","US","CA","90017","9.5000","","","",""
"US-CA-90018","US","CA","90018","9.5000","","","",""
"US-CA-90019","US","CA","90019","9.5000","","","",""
"US-CA-90020","US","CA","90020","9.5000","","","",""
"US-CA-90021","US","CA","90021","9.5000","","","",""
"US-CA-90022","US","CA","90022","10.2500","","","",""
"US-CA-90023","US","CA","90023","10.0000","","","",""
"US-CA-90024","US","CA","90024","9.5000","","","",""
"US-CA-90025","US","CA","90025","9.5000","","","",""
"US-CA-90026","US","CA","90026","9.5000","","","",""
"US-CA-90027","US","CA","90027","9.5000","","","",""
"US-CA-90028","US","CA","90028","9.5000","","","",""
"US-CA-90029","US","CA","90029","9.5000","","","",""
"US-CA-90030","US","CA","90030","9.5000","","","",""
"US-CA-90031","US","CA","90031","9.5000","","","",""
"US-CA-90032","US","CA","90032","9.5000","","","",""
"US-CA-90033","US","CA","90033","9.5000","","","",""
"US-CA-90034","US","CA","90034","9.5000","","","",""
"US-CA-90035","US","CA","90035","9.5000","","","",""
"US-CA-90036","US","CA","90036","9.5000","","","",""
"US-CA-90037","US","CA","90037","9.5000","","","",""
"US-CA-90038","US","CA","90038","9.5000","","","",""
"US-CA-90039","US","CA","90039","10.2500","","","",""
"US-CA-90040","US","CA","90040","10.2500","","","",""
"US-CA-90041","US","CA","90041","9.5000","","","",""
"US-CA-90042","US","CA","90042","10.2500","","","",""
"US-CA-90043","US","CA","90043","9.5000","","","",""
"US-CA-90044","US","CA","90044","9.5000","","","",""
"US-CA-90045","US","CA","90045","10.0000","","","",""
"US-CA-90046","US","CA","90046","9.5000","","","",""
"US-CA-90047","US","CA","90047","9.5000","","","",""
"US-CA-90048","US","CA","90048","9.5000","","","",""
"US-CA-90049","US","CA","90049","9.5000","","","",""
"US-CA-90050","US","CA","90050","9.5000","","","",""
"US-CA-90051","US","CA","90051","9.5000","","","",""
"US-CA-90052","US","CA","90052","9.5000","","","",""
"US-CA-90053","US","CA","90053","9.5000","","","",""
"US-CA-90054","US","CA","90054","9.5000","","","",""
"US-CA-90055","US","CA","90055","9.5000","","","",""
"US-CA-90056","US","CA","90056","9.5000","","","",""
"US-CA-90057","US","CA","90057","9.5000","","","",""
"US-CA-90058","US","CA","90058","10.2500","","","",""
"US-CA-90059","US","CA","90059","10.2500","","","",""
"US-CA-90060","US","CA","90060","9.5000","","","",""
"US-CA-90061","US","CA","90061","9.5000","","","",""
"US-CA-90062","US","CA","90062","9.5000","","","",""
"US-CA-90063","US","CA","90063","9.5000","","","",""
"US-CA-90064","US","CA","90064","9.5000","","","",""
"US-CA-90065","US","CA","90065","9.5000","","","",""
"US-CA-90066","US","CA","90066","10.2500","","","",""
"US-CA-90067","US","CA","90067","9.5000","","","",""
"US-CA-90068","US","CA","90068","9.5000","","","",""
